KO,PEP
V,MA
MSFT,GOOGL
AMZN,EBAY
NVDA,AMD
INTC,AMD
QCOM,AVGO
META,SNAP
META,PINS
UBER,LYFT
HD,LOW
MCD,YUM
SBUX,CMG
XOM,CVX
SLB,HAL
COP,EOG
JPM,BAC
JPM,C
GS,MS
BLK,TROW
AAPL,SSNLF
TSLA,RIVN
TSLA,LCID
NKE,LULU
DIS,NFLX
DIS,WBD
TMO,DHR
LLY,NVO
MRK,PFE
REGN,GILD
COST,WMT
TGT,WMT
UPS,FDX
DE,CAT
CAT,URI
RTX,LMT
LMT,NOC
PLTR,CACI
CRWD,ZS
DDOG,DT
TEAM,CRM
ASML,AMAT
AMAT,LRCX
MU,WDC
MU,SNDK
COIN,HOOD
MSTR,COIN
IBIT,MSTR
SLV,SIL
GLD,NEM
FSLR,ENPH
ENPH,SEDG
SOFI,UPST
